round_no,alive_sheep
1,15
2,15
3,15
4,14
5,14
6,14
7,14
8,14
9,13
10,13
11,13
12,13
13,12
14,12
15,12
16,12
17,11
18,11
19,11
20,11
21,10
22,10
23,10
24,10
25,10
26,10
27,10
28,10
29,9
30,9
31,9
32,8
33,8
34,8
35,8
36,7
37,7
38,7
39,6
40,6
41,6
42,6
43,6
44,6
45,5
46,4
47,4
48,4
49,4
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,0
